装备名称	大类型	副类型	详细类别	在界面上显示的小图（标准男）	在界面上显示的大图（标准男）	在界面上显示的小图（魁梧男）	在界面上显示的大图（魁梧男）	在界面上显示的小图（性感女）	在界面上显示的大图（性感女）	在界面上显示的小图（娇小女）	在界面上显示的大图（娇小女）	装备在身上的时候，使用的显示类型名字（标准男）	装备在身上的时候，使用的显示类型名字（魁梧男）	装备在身上的时候，使用的显示类型名字（性感女）	装备在身上的时候，使用的显示类型名字（娇小女）	装备在身上的时候，使用的显示类型名字（武器）	
辽虎威元帅装	0	101	32257	\image\item\cloth\傲睨装裤标准a1.spr	\image\item\cloth\傲睨装裤标准a0.spr	\image\item\cloth\傲睨装裤魁梧a1.spr	\image\item\cloth\傲睨装裤魁梧a0.spr	\image\item\cloth\傲睨装裤性感a1.spr	\image\item\cloth\傲睨装裤性感a0.spr	\image\item\cloth\傲睨装裤娇小a1.spr	\image\item\cloth\傲睨装裤娇小a0.spr	标准男傲睨装	魁梧男傲睨装	性感女傲睨装	娇小女傲睨装		
辽虎威元帅装	0	101	32258	\image\item\cloth\傲睨装裤标准a1.spr	\image\item\cloth\傲睨装裤标准a0.spr	\image\item\cloth\傲睨装裤魁梧a1.spr	\image\item\cloth\傲睨装裤魁梧a0.spr	\image\item\cloth\傲睨装裤性感a1.spr	\image\item\cloth\傲睨装裤性感a0.spr	\image\item\cloth\傲睨装裤娇小a1.spr	\image\item\cloth\傲睨装裤娇小a0.spr	标准男傲睨装	魁梧男傲睨装	性感女傲睨装	娇小女傲睨装		
杀星面具	0	103	865	\image\item\cap\m1_hd_018a1.spr	\image\item\cap\m1_hd_018a0.spr	\image\item\cap\m2_hd_018a1.spr	\image\item\cap\m2_hd_018a0.spr	\image\item\cap\f2_hd_018a1.spr	\image\item\cap\f2_hd_018a0.spr	\image\item\cap\f1_hd_018a1.spr	\image\item\cap\f1_hd_018a0.spr	标准男新门派头唐门	魁梧男新门派头唐门	性感女新门派头唐门	娇小女新门派头唐门		
杀星衣	0	100	865	\image\item\cloth\m1_bd_018a1.spr	\image\item\cloth\m1_bd_018a0.spr	\image\item\cloth\m2_bd_018a1.spr	\image\item\cloth\m2_bd_018a0.spr	\image\item\cloth\f2_bd_018a1.spr	\image\item\cloth\f2_bd_018a0.spr	\image\item\cloth\f1_bd_018a1.spr	\image\item\cloth\f1_bd_018a0.spr	标准男新门派衣唐门	魁梧男新门派衣唐门	性感女新门派衣唐门	娇小女新门派衣唐门		
杀星裤	0	101	865	\image\item\shoe\m1_le_018a1.spr	\image\item\shoe\m1_le_018a0.spr	\image\item\shoe\m2_le_018a1.spr	\image\item\shoe\m2_le_018a0.spr	\image\item\shoe\f2_le_018a1.spr	\image\item\shoe\f2_le_018a0.spr	\image\item\shoe\f1_le_018a1.spr	\image\item\shoe\f1_le_018a0.spr	标准男新门派装唐门	魁梧男新门派装唐门	性感女新门派装唐门	娇小女新门派装唐门		
杀星之琉璃戒刀	0	3	32483	\image\item\weapon\shaxing01a0.spr	\image\item\weapon\shaxing01a1.spr	\image\item\weapon\shaxing01a0.spr	\image\item\weapon\shaxing01a1.spr	\image\item\weapon\shaxing01a0.spr	\image\item\weapon\shaxing01a1.spr	\image\item\weapon\shaxing01a0.spr	\image\item\weapon\shaxing01a1.spr					少林刀10	
杀星之雷音裹手	0	0	32484	\image\item\weapon\shaxing03a0.spr	\image\item\weapon\shaxing03a1.spr	\image\item\weapon\shaxing03a0.spr	\image\item\weapon\shaxing03a1.spr	\image\item\weapon\shaxing03a0.spr	\image\item\weapon\shaxing03a1.spr	\image\item\weapon\shaxing03a0.spr	\image\item\weapon\shaxing03a1.spr					空手	
杀星之惊雷禅杖	0	8	32485	\image\item\weapon\shaxing04a0.spr	\image\item\weapon\shaxing04a1.spr	\image\item\weapon\shaxing04a0.spr	\image\item\weapon\shaxing04a1.spr	\image\item\weapon\shaxing04a0.spr	\image\item\weapon\shaxing04a1.spr	\image\item\weapon\shaxing04a0.spr	\image\item\weapon\shaxing04a1.spr					少林禅10	
杀星之阴阳穿影	0	1	32486	\image\item\weapon\shaxing06a0.spr	\image\item\weapon\shaxing06a1.spr	\image\item\weapon\shaxing06a0.spr	\image\item\weapon\shaxing06a1.spr	\image\item\weapon\shaxing06a0.spr	\image\item\weapon\shaxing06a1.spr	\image\item\weapon\shaxing06a0.spr	\image\item\weapon\shaxing06a1.spr					暗器	
杀星之慈航梵音剑	0	2	32487	\image\item\weapon\shaxing08a0.spr	\image\item\weapon\shaxing08a1.spr	\image\item\weapon\shaxing08a0.spr	\image\item\weapon\shaxing08a1.spr	\image\item\weapon\shaxing08a0.spr	\image\item\weapon\shaxing08a1.spr	\image\item\weapon\shaxing08a0.spr	\image\item\weapon\shaxing08a1.spr					峨眉剑10	
杀星之九霄环佩琴	0	10	32488	\image\item\weapon\shaxing09a0.spr	\image\item\weapon\shaxing09a1.spr	\image\item\weapon\shaxing09a0.spr	\image\item\weapon\shaxing09a1.spr	\image\item\weapon\shaxing09a0.spr	\image\item\weapon\shaxing09a1.spr	\image\item\weapon\shaxing09a0.spr	\image\item\weapon\shaxing09a1.spr					峨眉琴10	
杀星之龟鳞护手	0	0	32489	\image\item\weapon\shaxing11a0.spr	\image\item\weapon\shaxing11a1.spr	\image\item\weapon\shaxing11a0.spr	\image\item\weapon\shaxing11a1.spr	\image\item\weapon\shaxing11a0.spr	\image\item\weapon\shaxing11a1.spr	\image\item\weapon\shaxing11a0.spr	\image\item\weapon\shaxing11a1.spr					空手	
杀星之镇獒棍	0	5	32490	\image\item\weapon\shaxing12a0.spr	\image\item\weapon\shaxing12a1.spr	\image\item\weapon\shaxing12a0.spr	\image\item\weapon\shaxing12a1.spr	\image\item\weapon\shaxing12a0.spr	\image\item\weapon\shaxing12a1.spr	\image\item\weapon\shaxing12a0.spr	\image\item\weapon\shaxing12a1.spr					丐帮棍10	
杀星之万华纯风剑	0	2	32491	\image\item\weapon\shaxing14a0.spr	\image\item\weapon\shaxing14a1.spr	\image\item\weapon\shaxing14a0.spr	\image\item\weapon\shaxing14a1.spr	\image\item\weapon\shaxing14a0.spr	\image\item\weapon\shaxing14a1.spr	\image\item\weapon\shaxing14a0.spr	\image\item\weapon\shaxing14a1.spr					武当剑10	
杀星之星移斗转笔	0	9	32492	\image\item\weapon\shaxing15a0.spr	\image\item\weapon\shaxing15a1.spr	\image\item\weapon\shaxing15a0.spr	\image\item\weapon\shaxing15a1.spr	\image\item\weapon\shaxing15a0.spr	\image\item\weapon\shaxing15a1.spr	\image\item\weapon\shaxing15a0.spr	\image\item\weapon\shaxing15a1.spr					武当笔10	
杀星之破军杀阵枪	0	6	32493	\image\item\weapon\shaxing17a0.spr	\image\item\weapon\shaxing17a1.spr	\image\item\weapon\shaxing17a0.spr	\image\item\weapon\shaxing17a1.spr	\image\item\weapon\shaxing17a0.spr	\image\item\weapon\shaxing17a1.spr	\image\item\weapon\shaxing17a0.spr	\image\item\weapon\shaxing17a1.spr					杨门枪10	
杀星之穿穹追命弓	0	4	32494	\image\item\weapon\shaxing18a0.spr	\image\item\weapon\shaxing18a1.spr	\image\item\weapon\shaxing18a0.spr	\image\item\weapon\shaxing18a1.spr	\image\item\weapon\shaxing18a0.spr	\image\item\weapon\shaxing18a1.spr	\image\item\weapon\shaxing18a0.spr	\image\item\weapon\shaxing18a1.spr					杨门弓10	
杀星之刮骨血刀	0	7	32495	\image\item\weapon\shaxing20a0.spr	\image\item\weapon\shaxing20a1.spr	\image\item\weapon\shaxing20a0.spr	\image\item\weapon\shaxing20a1.spr	\image\item\weapon\shaxing20a0.spr	\image\item\weapon\shaxing20a1.spr	\image\item\weapon\shaxing20a0.spr	\image\item\weapon\shaxing20a1.spr					五毒刀10	
杀星之炼魂血爪	0	11	32496	\image\item\weapon\shaxing21a0.spr	\image\item\weapon\shaxing21a1.spr	\image\item\weapon\shaxing21a0.spr	\image\item\weapon\shaxing21a1.spr	\image\item\weapon\shaxing21a0.spr	\image\item\weapon\shaxing21a1.spr	\image\item\weapon\shaxing21a0.spr	\image\item\weapon\shaxing21a1.spr					五毒爪10	
杀星之御天风雷剑	0	2	32497	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr					昆仑剑10	
杀星之神炎天刀	0	3	32498	\image\item\weapon\shaxing25a0.spr	\image\item\weapon\shaxing25a1.spr	\image\item\weapon\shaxing25a0.spr	\image\item\weapon\shaxing25a1.spr	\image\item\weapon\shaxing25a0.spr	\image\item\weapon\shaxing25a1.spr	\image\item\weapon\shaxing25a0.spr	\image\item\weapon\shaxing25a1.spr					明教刀10	
杀星之神锋判笔	0	9	32499	\image\item\weapon\shaxing26a0.spr	\image\item\weapon\shaxing26a1.spr	\image\item\weapon\shaxing26a0.spr	\image\item\weapon\shaxing26a1.spr	\image\item\weapon\shaxing26a0.spr	\image\item\weapon\shaxing26a1.spr	\image\item\weapon\shaxing26a0.spr	\image\item\weapon\shaxing26a1.spr					明教笔10	
杀星之神灵咒爪	0	11	32500	\image\item\weapon\shaxing27a0.spr	\image\item\weapon\shaxing27a1.spr	\image\item\weapon\shaxing27a0.spr	\image\item\weapon\shaxing27a1.spr	\image\item\weapon\shaxing27a0.spr	\image\item\weapon\shaxing27a1.spr	\image\item\weapon\shaxing27a0.spr	\image\item\weapon\shaxing27a1.spr					明教爪10	
杀星之幻舞玲珑枝	0	13	32501	\image\item\weapon\shaxing29a0.spr	\image\item\weapon\shaxing29a1.spr	\image\item\weapon\shaxing29a0.spr	\image\item\weapon\shaxing29a1.spr	\image\item\weapon\shaxing29a0.spr	\image\item\weapon\shaxing29a1.spr	\image\item\weapon\shaxing29a0.spr	\image\item\weapon\shaxing29a1.spr					翠烟扇10	
杀星之幻音九霄笛	0	12	32502	\image\item\weapon\shaxing30a0.spr	\image\item\weapon\shaxing30a1.spr	\image\item\weapon\shaxing30a0.spr	\image\item\weapon\shaxing30a1.spr	\image\item\weapon\shaxing30a0.spr	\image\item\weapon\shaxing30a1.spr	\image\item\weapon\shaxing30a0.spr	\image\item\weapon\shaxing30a1.spr					翠烟笛10	
杀星之鱼藏	0	14	32503	\image\item\weapon\shaxing31a0.spr	\image\item\weapon\shaxing31a1.spr	\image\item\weapon\shaxing31a0.spr	\image\item\weapon\shaxing31a1.spr	\image\item\weapon\shaxing31a0.spr	\image\item\weapon\shaxing31a1.spr	\image\item\weapon\shaxing31a0.spr	\image\item\weapon\shaxing31a1.spr					唐匕首11	
杀星之止戈	0	2	32504	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr	\image\item\weapon\shaxing23a0.spr	\image\item\weapon\shaxing23a1.spr					昆仑剑10	
宋朱雀将军初级刀	0	3	32505	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr					少林刀20	
宋朱雀将军初级杖	0	8	32506	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr					少林禅20	
宋朱雀将军初级手	0	0	32507	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr						
宋朱雀将军初级针	0	1	32508	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr						
宋朱雀将军初级剑	0	2	32509	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr					峨眉剑20	
宋朱雀将军初级琴	0	10	32510	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr					峨眉琴20	
宋朱雀将军初级手	0	0	32511	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr						
宋朱雀将军初级棍	0	5	32512	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr					丐帮棍20	
宋朱雀将军初级剑	0	2	32513	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr					武当剑20	
宋朱雀将军初级笔	0	9	32514	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr					武当笔20	
宋朱雀将军初级枪	0	6	32515	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr					杨门枪20	
宋朱雀将军初级弓	0	4	32516	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr					杨门弓20	
宋朱雀将军初级双刀	0	7	32517	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr					五毒刀20	
宋朱雀将军初级爪	0	11	32518	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr					五毒爪20	
宋朱雀将军初级剑	0	2	32519	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr					昆仑剑20	
宋朱雀将军初级刀	0	3	32520	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr					明教刀20	
宋朱雀将军初级笔	0	9	32521	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr					明教笔20	
宋朱雀将军初级爪	0	11	32522	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr					明教爪20	
宋朱雀将军初级扇	0	13	32523	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr					翠烟扇20	
宋朱雀将军初级笛	0	12	32524	\image\item\weapon\翠烟笛低级a1.spr	\image\item\weapon\翠烟笛低级a0.spr	\image\item\weapon\翠烟笛低级a1.spr	\image\item\weapon\翠烟笛低级a0.spr	\image\item\weapon\翠烟笛低级a1.spr	\image\item\weapon\翠烟笛低级a0.spr	\image\item\weapon\翠烟笛低级a1.spr	\image\item\weapon\翠烟笛低级a0.spr					翠烟笛20	
宋朱雀将军初级匕首	0	14	32525	\image\item\weapon\唐门匕首低级a1.spr	\image\item\weapon\唐门匕首低级a0.spr	\image\item\weapon\唐门匕首低级a1.spr	\image\item\weapon\唐门匕首低级a0.spr	\image\item\weapon\唐门匕首低级a1.spr	\image\item\weapon\唐门匕首低级a0.spr	\image\item\weapon\唐门匕首低级a1.spr	\image\item\weapon\唐门匕首低级a0.spr					唐匕首20	
宋朱雀将军初级剑	0	2	32526	\image\item\weapon\昆仑剑尊剑低级a1.spr	\image\item\weapon\昆仑剑尊剑低级a0.spr	\image\item\weapon\昆仑剑尊剑低级a1.spr	\image\item\weapon\昆仑剑尊剑低级a0.spr	\image\item\weapon\昆仑剑尊剑低级a1.spr	\image\item\weapon\昆仑剑尊剑低级a0.spr	\image\item\weapon\昆仑剑尊剑低级a1.spr	\image\item\weapon\昆仑剑尊剑低级a0.spr					剑尊剑20	
宋朱雀将军中级刀	0	3	32527	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr	\image\item\weapon\少林刀低级a1.spr	\image\item\weapon\少林刀低级a0.spr					少林刀20	
宋朱雀将军中级杖	0	8	32528	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr	\image\item\weapon\少林杖低级a1.spr	\image\item\weapon\少林杖低级a0.spr					少林禅20	
宋朱雀将军中级手	0	0	32529	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr	\image\item\weapon\少林护手低级a1.spr	\image\item\weapon\少林护手低级a0.spr						
宋朱雀将军中级针	0	1	32530	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr	\image\item\weapon\唐门暗器低级a1.spr	\image\item\weapon\唐门暗器低级a0.spr						
宋朱雀将军中级剑	0	2	32531	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr	\image\item\weapon\峨眉剑低级a1.spr	\image\item\weapon\峨眉剑低级a0.spr					峨眉剑20	
宋朱雀将军中级琴	0	10	32532	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr	\image\item\weapon\峨眉琴低级a1.spr	\image\item\weapon\峨眉琴低级a0.spr					峨眉琴20	
宋朱雀将军中级手	0	0	32533	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr	\image\item\weapon\丐帮护手低级a1.spr	\image\item\weapon\丐帮护手低级a0.spr						
宋朱雀将军中级棍	0	5	32534	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr	\image\item\weapon\丐帮棍低级a1.spr	\image\item\weapon\丐帮棍低级a0.spr					丐帮棍20	
宋朱雀将军中级剑	0	2	32535	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr	\image\item\weapon\武当剑初级a1.spr	\image\item\weapon\武当剑初级a0.spr					武当剑20	
宋朱雀将军中级笔	0	9	32536	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr	\image\item\weapon\武当笔低级a1.spr	\image\item\weapon\武当笔低级a0.spr					武当笔20	
宋朱雀将军中级枪	0	6	32537	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr	\image\item\weapon\杨门枪低级a1.spr	\image\item\weapon\杨门枪低级a0.spr					杨门枪20	
宋朱雀将军中级弓	0	4	32538	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr	\image\item\weapon\杨门弓低级a1.spr	\image\item\weapon\杨门弓低级a0.spr					杨门弓20	
宋朱雀将军中级双刀	0	7	32539	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr	\image\item\weapon\五毒刀低级a1.spr	\image\item\weapon\五毒刀低级a0.spr					五毒刀20	
宋朱雀将军中级爪	0	11	32540	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr	\image\item\weapon\五毒爪低级a1.spr	\image\item\weapon\五毒爪低级a0.spr					五毒爪20	
宋朱雀将军中级剑	0	2	32541	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr	\image\item\weapon\昆仑天师剑低级a1.spr	\image\item\weapon\昆仑天师剑低级a0.spr					昆仑剑20	
宋朱雀将军中级刀	0	3	32542	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr	\image\item\weapon\明教刀低级a1.spr	\image\item\weapon\明教刀低级a0.spr					明教刀20	
宋朱雀将军中级笔	0	9	32543	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr	\image\item\weapon\明教笔低级a1.spr	\image\item\weapon\明教笔低级a0.spr					明教笔20	
宋朱雀将军中级爪	0	11	32544	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr	\image\item\weapon\明教爪低级a1.spr	\image\item\weapon\明教爪低级a0.spr					明教爪20	
宋朱雀将军中级扇	0	13	32545	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr	\image\item\weapon\翠烟扇低级a1.spr	\image\item\weapon\翠烟扇低级a0.spr					翠烟扇20	
