Tªn thùc vËt	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	§ãi	Tuæi thä	§éc	HuyÕt	Linh	Ma	§éc hiÖn t¹i	M¸u hiÖn t¹i	Linh hiÖn t¹i	Ma hiÖn t¹i	N¨ng lùc cao nhÊt cña Cæ mÉu
Miªu T©m Th­êng	0	100	2171	5000	1000	-4	15	-4	-2					
Miªu Cæ Th­êng	0	100	2152	3000	500	-2	8	-2	-1					
Miªu T©m Th­êng	0	100	2172	5000	1000	-4	15	-4	-2					
Miªu Cæ Th­êng	0	100	2153	3000	500	-2	8	-2	-1					
Miªu T©m Th­êng	0	100	2173	5000	1000	-4	15	-4	-2					
Miªu Cæ Th­êng	0	100	2154	3000	500	-2	8	-2	-1					
Miªu T©m Th­êng	0	100	2174	5000	1000	-4	15	-4	-2					
Kim Cang Ngäc Th­êng	0	100	281	6000	1500	-4	20	-4	-2					
Kim Cang Ngäc Th­êng	0	100	282	6000	1500	-4	20	-4	-2					
Nh­ Lai Ngäc Th­êng	0	100	381	6000	1500	-4	20	-4	-2					
Nh­ Lai Ngäc Th­êng	0	100	382	6000	1500	-4	20	-4	-2					
La H¸n Ngäc Th­êng	0	100	481	6000	1500	-4	20	-4	-2					
La H¸n Ngäc Th­êng	0	100	482	6000	1500	-4	20	-4	-2					
HiÖp Kh¸ch Ngäc Th­êng	0	100	681	6000	1500	-4	20	-4	-2					
HiÖp Kh¸ch Ngäc Th­êng	0	100	682	6000	1500	-4	20	-4	-2					
HiÖp Kh¸ch Ngäc Th­êng	0	100	683	6000	1500	-4	20	-4	-2					
HiÖp Kh¸ch Ngäc Th­êng	0	100	684	6000	1500	-4	20	-4	-2					
Quan ¢m Ngäc Th­êng	0	100	883	6000	1500	-4	20	-4	-2					
Quan ¢m Ngäc Th­êng	0	100	884	6000	1500	-4	20	-4	-2					
Ngäc N÷ Th­êng	0	100	983	6000	1500	-4	20	-4	-2					
Ngäc N÷ Th­êng	0	100	984	6000	1500	-4	20	-4	-2					
Gi¸ng Long Ngäc Th­êng	0	100	1181	6000	1500	-4	20	-4	-2					
Gi¸ng Long Ngäc Th­êng	0	100	1182	6000	1500	-4	20	-4	-2					
Gi¸ng Long Ngäc Th­êng	0	100	1183	6000	1500	-4	20	-4	-2					
Gi¸ng Long Ngäc Th­êng	0	100	1184	6000	1500	-4	20	-4	-2					
Phong Ma Ngäc Th­êng	0	100	1281	6000	1500	-4	20	-4	-2					
Phong Ma Ngäc Th­êng	0	100	1282	6000	1500	-4	20	-4	-2					
Phong Ma Ngäc Th­êng	0	100	1283	6000	1500	-4	20	-4	-2					
Phong Ma Ngäc Th­êng	0	100	1284	6000	1500	-4	20	-4	-2					
Ch©n Vò Ngäc Th­êng	0	100	1481	6000	1500	-4	20	-4	-2					
Ch©n Vò Ngäc Th­êng	0	100	1482	6000	1500	-4	20	-4	-2					
Ch©n Vò Ngäc Th­êng	0	100	1483	6000	1500	-4	20	-4	-2					
Ch©n Vò Ngäc Th­êng	0	100	1484	6000	1500	-4	20	-4	-2					
NhÊt D­¬ng Ngäc Th­êng	0	100	1581	6000	1500	-4	20	-4	-2					
NhÊt D­¬ng Ngäc Th­êng	0	100	1582	6000	1500	-4	20	-4	-2					
NhÊt D­¬ng Ngäc Th­êng	0	100	1583	6000	1500	-4	20	-4	-2					
NhÊt D­¬ng Ngäc Th­êng	0	100	1584	6000	1500	-4	20	-4	-2					
Xa Kþ To¸i Ngäc Th­êng	0	100	1781	6000	1500	-4	20	-4	-2					
Xa Kþ To¸i Ngäc Th­êng	0	100	1782	6000	1500	-4	20	-4	-2					
Xa Kþ To¸i Ngäc Th­êng	0	100	1783	6000	1500	-4	20	-4	-2					
Xa Kþ To¸i Ngäc Th­êng	0	100	1784	6000	1500	-4	20	-4	-2					
D­¬ng To¸i Th­êng	0	100	1881	6000	1500	-4	20	-4	-2					
D­¬ng To¸i Th­êng	0	100	1882	6000	1500	-4	20	-4	-2					
D­¬ng To¸i Th­êng	0	100	1883	6000	1500	-4	20	-4	-2					
D­¬ng To¸i Th­êng	0	100	1884	6000	1500	-4	20	-4	-2					
HiÖp ThiÕu Bè Trang	0	101	1	400		-2	-2	1	-2					
ViÔn Tóc trang	0	101	2	400		-2	-2	1	-2					
Lang B× trang	0	101	3	600		-1	-2	1	-2					
Nh­ ý trang	0	101	4	600		-1	-2	1	-2					
Hæ B× trang	0	101	5	800		-1	-2	2	-2					
Khinh Gi¸p trang	0	101	6	800		-1	-2	2	-2					
D¹ Hµnh trang	0	101	7	1000		-2	-1	2	-1					
Háa T­êng trang	0	101	8	1000		-2	-1	2	-1					
XÝch L©n trang	0	101	9	1200		-1	-2	3	-2					
Nh­ ý trang	0	101	10	1200		-1	-2	3	-2					
Long B× trang	0	101	11	1400		-2	-1	3	-1					
HuyÒn ¶nh trang	0	101	12	1400		-2	-1	3	-1					
Thiªn Lang trang	0	101	13	1600		-1	-2	4	-2					
Phi Ng­ trang	0	101	14	1600		-1	-2	4	-2					
Thanh V©n trang	0	101	15	1800		-2	-1	4	-1					
BÝch L©n trang	0	101	16	1800		-2	-1	4	-1					
S¸t KiÕp trang	0	101	17	2000		0	-2	5	-2					
¤ Tµm trang	0	101	18	2000		0	-2	5	-2					
HiÖp ThiÕu trang	0	101	19	400		-2	-2	1	-2					
Håi Phong trang	0	101	20	400		-2	-2	1	-2					
M·ng Ng­u trang	0	101	21	600		-1	-2	1	-2					
Kim T¬ trang	0	101	22	600		-1	-2	1	-2					
Hµo HiÖp trang	0	101	23	800		-1	-2	2	-2					
Kim Lò trang	0	101	24	800		-1	-2	2	-2					
Du HiÖp trang	0	101	25	1000		-2	-1	2	-1					
Hæ B× K×nh Trang	0	101	26	1000		-2	-1	2	-1					
CÈm Lan trang	0	101	27	1200		-1	-2	3	-2					
Thanh S­¬ng trang	0	101	28	1200		-1	-2	3	-2					
Thiªn Phong trang	0	101	29	1400		-2	-1	3	-1					
BÝ Èn trang	0	101	30	1400		-2	-1	3	-1					
ThÇn S¸ch trang	0	101	31	1600		-1	-2	4	-2					
Thiªn L«i trang	0	101	32	1600		-1	-2	4	-2					
Nhu C­¬ng trang	0	101	33	1800		-2	-1	4	-1					
Cuång Viªm trang	0	101	34	1800		-2	-1	4	-1					
HuyÕt Hµ trang	0	101	35	2000		0	-2	5	-2					
Thiªn C­¬ng Trang	0	101	36	2000		0	-2	5	-2					
Th¸i Tó Trang	0	101	37	400		-2	-2	1	-2					
Hå C¬ Tó Trang	0	101	38	400		-2	-2	1	-2					
H¾c Nhung Tó Trang	0	101	39	600		-1	-2	1	-2					
BÝch V©n Tó Trang	0	101	40	600		-1	-2	1	-2					
Vâ LuyÖn Tó Trang	0	101	41	800		-1	-2	2	-2					
Háa C¸n Tó Trang	0	101	42	800		-1	-2	2	-2					
LuyÖn Gi¸p Tó Trang	0	101	43	1000		-2	-1	2	-1					
S­ Man Tó Trang	0	101	44	1000		-2	-1	2	-1					
CÈm Anh Tó Trang	0	101	45	1200		-1	-2	3	-2					
V©n Hµ Tó Trang	0	101	46	1200		-1	-2	3	-2					
Toµn Kim Gi¸p Trang	0	101	47	1400		-2	-1	3	-1					
Hång V©n Tó Trang	0	101	48	1400		-2	-1	3	-1					
L«i ThÇn	0	101	49	1600		-1	-2	4	-2					
Thiªn M·	0	101	50	1600		-1	-2	4	-2					
Ph¸ TrËn	0	101	51	1800		-2	-1	4	-1					
PhÊt V©n	0	101	52	1800		-2	-1	4	-1					
Hæ TiÕu	0	101	53	2000		0	-2	5	-2					
Th¸i Thanh	0	101	54	2000		0	-2	5	-2					
ThiÓn Th¶o Tó Trang	0	101	55	400		-2	-2	1	-2					
Tö Hµ Tó Trang	0	101	56	400		-2	-2	1	-2					
Phong TrÇn Tó Trang	0	101	57	600		-1	-2	1	-2					
Linh VËn Tó Trang	0	101	58	600		-1	-2	1	-2					
Phi Hång Tó Trang	0	101	59	800		-1	-2	2	-2					
Phong Vò Tó Trang	0	101	60	800		-1	-2	2	-2					
H·m TrËn Tó Trang	0	101	61	1000		-2	-1	2	-1					
BÝch Hå Tó Trang	0	101	62	1000		-2	-1	2	-1					
Thiªn Tµm Tó Trang	0	101	63	1200		-1	-2	3	-2					
Khëi La Tó Trang	0	101	64	1200		-1	-2	3	-2					
Vâ ThÇn Tó Trang	0	101	65	1400		-2	-1	3	-1					
Linh Lung Tó Trang	0	101	66	1400		-2	-1	3	-1					
B¸ch ChiÕn	0	101	67	1600		-1	-2	4	-2					
ThÇn N÷	0	101	68	1600		-1	-2	4	-2					
Vò Linh	0	101	69	1800		-2	-1	4	-1					
T¶n Hoa	0	101	70	1800		-2	-1	4	-1					
Hång Ngäc	0	101	71	2000		0	-2	5	-2					
XuÊt V©n	0	101	72	2000		0	-2	5	-2					
Kim Cang D­¬ng Trang	0	101	251	3000	500	-1	-2	8	-2					
Kim Cang Dao Trang	0	101	271	5000	1000	-2	-4	15	-4					
Kim Cang D­¬ng Trang	0	101	252	3000	500	-1	-2	8	-2					
Kim Cang Dao Trang	0	101	272	5000	1000	-2	-4	15	-4					
Nh­ Lai D­¬ng Trang	0	101	351	3000	500	-1	-2	8	-2					
Nh­ Lai Dao Trang	0	101	371	5000	1000	-2	-4	15	-4					
Nh­ Lai D­¬ng Trang	0	101	352	3000	500	-1	-2	8	-2					
Nh­ Lai Dao Trang	0	101	372	5000	1000	-2	-4	15	-4					
La H¸n D­¬ng Trang	0	101	451	3000	500	-1	-2	8	-2					
La H¸n Dao Trang	0	101	471	5000	1000	-2	-4	15	-4					
La H¸n D­¬ng Trang	0	101	452	3000	500	-1	-2	8	-2					
La H¸n Dao Trang	0	101	472	5000	1000	-2	-4	15	-4					
HiÖp Kh¸ch D­¬ng Trang	0	101	651	3000	500	-1	-2	8	-2					
HiÖp Kh¸ch Dao Trang	0	101	671	5000	1000	-2	-4	15	-4					
HiÖp Kh¸ch D­¬ng Trang	0	101	652	3000	500	-1	-2	8	-2					
HiÖp Kh¸ch Dao Trang	0	101	672	5000	1000	-2	-4	15	-4					
HiÖp Kh¸ch D­¬ng Trang	0	101	653	3000	500	-1	-2	8	-2					
HiÖp Kh¸ch Dao Trang	0	101	673	5000	1000	-2	-4	15	-4					
HiÖp Kh¸ch D­¬ng Trang	0	101	654	3000	500	-1	-2	8	-2					
HiÖp Kh¸ch Dao Trang	0	101	674	5000	1000	-2	-4	15	-4					
Quan ¢m D­¬ng Trang	0	101	853	3000	500	-1	-2	8	-2					
Quan ¢m Dao Trang	0	101	873	5000	1000	-2	-4	15	-4					
Quan ¢m D­¬ng Trang	0	101	854	3000	500	-1	-2	8	-2					
Quan ¢m Dao Trang	0	101	874	5000	1000	-2	-4	15	-4					
Ngäc N÷ D­¬ng  Trang	0	101	953	3000	500	-1	-2	8	-2					
Ngäc N÷ Dao Trang	0	101	973	5000	1000	-2	-4	15	-4					
Ngäc N÷ D­¬ng  Trang	0	101	954	3000	500	-1	-2	8	-2					
Ngäc N÷ Dao Trang	0	101	974	5000	1000	-2	-4	15	-4					
Gi¸ng Long D­¬ng Trang	0	101	1151	3000	500	-1	-2	8	-2					
Gi¸ng Long Dao Trang	0	101	1171	5000	1000	-2	-4	15	-4					
Gi¸ng Long D­¬ng Trang	0	101	1152	3000	500	-1	-2	8	-2					
Gi¸ng Long Dao Trang	0	101	1172	5000	1000	-2	-4	15	-4					
Gi¸ng Long D­¬ng Trang	0	101	1153	3000	500	-1	-2	8	-2					
Gi¸ng Long Dao Trang	0	101	1173	5000	1000	-2	-4	15	-4					
Gi¸ng Long D­¬ng Trang	0	101	1154	3000	500	-1	-2	8	-2					
Gi¸ng Long Dao Trang	0	101	1174	5000	1000	-2	-4	15	-4					
Phong Ma D­¬ng Trang	0	101	1251	3000	500	-1	-2	8	-2					
Phong Ma Dao Trang	0	101	1271	5000	1000	-2	-4	15	-4					
Phong Ma D­¬ng Trang	0	101	1252	3000	500	-1	-2	8	-2					
Phong Ma Dao Trang	0	101	1272	5000	1000	-2	-4	15	-4					
Phong Ma D­¬ng Trang	0	101	1253	3000	500	-1	-2	8	-2					
Phong Ma Dao Trang	0	101	1273	5000	1000	-2	-4	15	-4					
Phong Ma D­¬ng Trang	0	101	1254	3000	500	-1	-2	8	-2					
Phong Ma Dao Trang	0	101	1274	5000	1000	-2	-4	15	-4					
Ch©n Vò D­¬ng Trang	0	101	1451	3000	500	-1	-2	8	-2					
Ch©n Vò Dao Trang	0	101	1471	5000	1000	-2	-4	15	-4					
Ch©n Vò D­¬ng Trang	0	101	1452	3000	500	-1	-2	8	-2					
Ch©n Vò Dao Trang	0	101	1472	5000	1000	-2	-4	15	-4					
Ch©n Vò D­¬ng Trang	0	101	1453	3000	500	-1	-2	8	-2					
Ch©n Vò Dao Trang	0	101	1473	5000	1000	-2	-4	15	-4					
Ch©n Vò D­¬ng Trang	0	101	1454	3000	500	-1	-2	8	-2					
Ch©n Vò Dao Trang	0	101	1474	5000	1000	-2	-4	15	-4					
NhÊt D­¬ng Trang	0	101	1551	3000	500	-1	-2	8	-2					
NhÊt D­¬ng Dao Trang	0	101	1571	5000	1000	-2	-4	15	-4					
NhÊt D­¬ng Trang	0	101	1552	3000	500	-1	-2	8	-2					
NhÊt D­¬ng Dao Trang	0	101	1572	5000	1000	-2	-4	15	-4					
NhÊt D­¬ng Trang	0	101	1553	3000	500	-1	-2	8	-2					
NhÊt D­¬ng Dao Trang	0	101	1573	5000	1000	-2	-4	15	-4					
NhÊt D­¬ng Trang	0	101	1554	3000	500	-1	-2	8	-2					
NhÊt D­¬ng Dao Trang	0	101	1574	5000	1000	-2	-4	15	-4					
Xa Kþ ChiÕn SÜ Trang	0	101	1751	3000	500	-1	-2	8	-2					
Xa Kþ T­íng Qu©n Trang	0	101	1771	5000	1000	-2	-4	15	-4					
Xa Kþ ChiÕn SÜ Trang	0	101	1752	3000	500	-1	-2	8	-2					
Xa Kþ T­íng Qu©n Trang	0	101	1772	5000	1000	-2	-4	15	-4					
Xa Kþ ChiÕn SÜ Trang	0	101	1753	3000	500	-1	-2	8	-2					
Xa Kþ T­íng Qu©n Trang	0	101	1773	5000	1000	-2	-4	15	-4					
Xa Kþ ChiÕn SÜ Trang	0	101	1754	3000	500	-1	-2	8	-2					
Xa Kþ T­íng Qu©n Trang	0	101	1774	5000	1000	-2	-4	15	-4					
D­¬ng §Þnh Trang	0	101	1851	3000	500	-1	-2	8	-2					
D­¬ng An Trang	0	101	1871	5000	1000	-2	-4	15	-4					
D­¬ng §Þnh Trang	0	101	1852	3000	500	-1	-2	8	-2					
D­¬ng An Trang	0	101	1872	5000	1000	-2	-4	15	-4					
D­¬ng §Þnh Trang	0	101	1853	3000	500	-1	-2	8	-2					
D­¬ng An Trang	0	101	1873	5000	1000	-2	-4	15	-4					
D­¬ng §Þnh Trang	0	101	1854	3000	500	-1	-2	8	-2					
D­¬ng An Trang	0	101	1874	5000	1000	-2	-4	15	-4					
U Lung L­u V©n Trang	0	101	2051	3000	500	-1	-2	8	-2					
U Minh Thiªn Qu©n Trang	0	101	2071	5000	1000	-2	-4	15	-4					
U Lung L­u V©n Trang	0	101	2052	3000	500	-1	-2	8	-2					
U Minh Thiªn Qu©n Trang	0	101	2072	5000	1000	-2	-4	15	-4					
U Lung L­u V©n Trang	0	101	2053	3000	500	-1	-2	8	-2					
U Minh Thiªn Qu©n Trang	0	101	2073	5000	1000	-2	-4	15	-4					
U Lung L­u V©n Trang	0	101	2054	3000	500	-1	-2	8	-2					
U Minh Thiªn Qu©n Trang	0	101	2074	5000	1000	-2	-4	15	-4					
Miªu Cæ Trang	0	101	2151	3000	500	-1	-2	8	-2					
Miªu T©m Trang	0	101	2171	5000	1000	-2	-4	15	-4					
Miªu Cæ Trang	0	101	2152	3000	500	-1	-2	8	-2					
Miªu T©m Trang	0	101	2172	5000	1000	-2	-4	15	-4					
Miªu Cæ Trang	0	101	2153	3000	500	-1	-2	8	-2					
Miªu T©m Trang	0	101	2173	5000	1000	-2	-4	15	-4					
Miªu Cæ Trang	0	101	2154	3000	500	-1	-2	8	-2					
Miªu T©m Trang	0	101	2174	5000	1000	-2	-4	15	-4					
Kim Cang Ngäc Trang	0	101	281	6000	1500	-2	-4	20	-4					
Kim Cang Ngäc Trang	0	101	282	6000	1500	-2	-4	20	-4					
Nh­ Lai Ngäc Trang	0	101	381	6000	1500	-2	-4	20	-4					
Nh­ Lai Ngäc Trang	0	101	382	6000	1500	-2	-4	20	-4					
La H¸n Ngäc Trang	0	101	481	6000	1500	-2	-4	20	-4					
La H¸n Ngäc Trang	0	101	482	6000	1500	-2	-4	20	-4					
HiÖp Kh¸ch To¸i Ngäc Trang	0	101	681	6000	1500	-2	-4	20	-4					
HiÖp Kh¸ch To¸i Ngäc Trang	0	101	682	6000	1500	-2	-4	20	-4					
HiÖp Kh¸ch To¸i Ngäc Trang	0	101	683	6000	1500	-2	-4	20	-4					
HiÖp Kh¸ch To¸i Ngäc Trang	0	101	684	6000	1500	-2	-4	20	-4					
Quan ¢m Ngäc Trang	0	101	883	6000	1500	-2	-4	20	-4					
Quan ¢m Ngäc Trang	0	101	884	6000	1500	-2	-4	20	-4					
Ngäc N÷ Trang	0	101	983	6000	1500	-2	-4	20	-4					
Ngäc N÷ Trang	0	101	984	6000	1500	-2	-4	20	-4					
Gi¸ng Long Ngäc Trang	0	101	1181	6000	1500	-2	-4	20	-4					
Gi¸ng Long Ngäc Trang	0	101	1182	6000	1500	-2	-4	20	-4					
Gi¸ng Long Ngäc Trang	0	101	1183	6000	1500	-2	-4	20	-4					
Gi¸ng Long Ngäc Trang	0	101	1184	6000	1500	-2	-4	20	-4					
Phong Ma Ngäc Trang	0	101	1281	6000	1500	-2	-4	20	-4					
Phong Ma Ngäc Trang	0	101	1282	6000	1500	-2	-4	20	-4					
Phong Ma Ngäc Trang	0	101	1283	6000	1500	-2	-4	20	-4					
Phong Ma Ngäc Trang	0	101	1284	6000	1500	-2	-4	20	-4					
Ch©n Vò Ngäc Trang	0	101	1481	6000	1500	-2	-4	20	-4					
Ch©n Vò Ngäc Trang	0	101	1482	6000	1500	-2	-4	20	-4					
Ch©n Vò Ngäc Trang	0	101	1483	6000	1500	-2	-4	20	-4					
Ch©n Vò Ngäc Trang	0	101	1484	6000	1500	-2	-4	20	-4					
NhÊt D­¬ng Ngäc Trang	0	101	1581	6000	1500	-2	-4	20	-4					
NhÊt D­¬ng Ngäc Trang	0	101	1582	6000	1500	-2	-4	20	-4					
NhÊt D­¬ng Ngäc Trang	0	101	1583	6000	1500	-2	-4	20	-4					
NhÊt D­¬ng Ngäc Trang	0	101	1584	6000	1500	-2	-4	20	-4					
Xa Kþ To¸i Ngäc Trang	0	101	1781	6000	1500	-2	-4	20	-4					
Xa Kþ To¸i Ngäc Trang	0	101	1782	6000	1500	-2	-4	20	-4					
Xa Kþ To¸i Ngäc Trang	0	101	1783	6000	1500	-2	-4	20	-4					
Xa Kþ To¸i Ngäc Trang	0	101	1784	6000	1500	-2	-4	20	-4					
D­¬ng To¸i Trang	0	101	1881	6000	1500	-2	-4	20	-4					
D­¬ng To¸i Trang	0	101	1882	6000	1500	-2	-4	20	-4					
D­¬ng To¸i Trang	0	101	1883	6000	1500	-2	-4	20	-4					
D­¬ng To¸i Trang	0	101	1884	6000	1500	-2	-4	20	-4					
HiÖp ThiÕu Hé UyÓn	0	0	1	500		-2	-2	-2	1					
Tr¹m Ng©n Hé UyÓn	0	0	2	600		-2	-2	-2	1					
Phi Ng­ thñ	0	0	3	700		-2	-1	-2	1					
Hång Ma thñ	0	0	4	800		-2	-1	-2	1					
Xuyªn V©n thñ	0	0	5	900		-2	-1	-2	2					
Tam D­¬ng thñ	0	0	6	1000		-2	-1	-2	2					
Thiªn Ng­u thñ	0	0	7	1100		-1	-2	-1	2					
BÝch Xµ thñ	0	0	8	1200		-1	-2	-1	2					
Kh¸ng Long thñ	0	0	9	1300		-2	-1	-2	3					
T­êng Ph­îng	0	0	10	1400		-1	-2	-1	3					
Né Long	0	0	11	1500		-2	-1	-2	4					
Ngò Ph­¬ng Quû Chóng	0	0	12	1600		-1	-2	-1	4					
Nª Lª ®Þa ngôc	0	0	13	1700		-1	-2	-1	5					
V¹n NhÉn	0	0	14	1800		-1	-1	-1	5					
ThÇn Quy	0	0	15	1900		-1	-1	-1	6					
¢m D­¬ng Ên	0	0	16	2000		-1	-1	-1	7					
HiÖp ThiÕu kiÕm	0	2	14	500		-2	-2	-2	1					
Tïng V¨n kiÕm	0	2	15	600		-2	-2	-2	1					
Linh Xµ kiÕm	0	2	16	700		-2	-1	-2	1					
XÝch Sa kiÕm	0	2	17	800		-2	-1	-2	1					
Thanh Minh kiÕm	0	2	18	900		-2	-1	-2	2					
HuyÕt S¸t kiÕm	0	2	19	1000		-2	-1	-2	2					
Hµm Quang kiÕm	0	2	20	1100		-1	-2	-1	2					
TÝch D­¬ng	0	2	21	1200		-1	-2	-1	2					
HuyÒn §iÖn	0	2	22	1300		-2	-1	-2	3					
Thanh S­¬ng	0	2	23	1400		-1	-2	-1	3					
Dao Quang	0	2	24	1500		-2	-1	-2	4					
BÝch HuyÕt	0	2	25	1600		-1	-2	-1	4					
HuyÒn thiÕt Träng KiÕm	0	2	26	1700		-1	-2	-1	5					
Háa Tinh	0	2	36	1800		-1	-1	-1	5					
Häa ¶nh	0	2	37	1900		-1	-1	-1	6					
Nha Cöu	0	2	38	2000		-1	-1	-1	7					
HiÖp ThiÕu c«n	0	5	27	500		-2	-2	-2	1					
TÒ Mi c«n	0	5	28	600		-2	-2	-2	1					
Thñy Háa c«n	0	5	29	700		-2	-1	-2	1					
Tø B×nh c«n	0	5	30	800		-2	-1	-2	1					
Phæ §é c«n	0	5	31	900		-2	-1	-2	2					
H¹c Vò c«n	0	5	32	1000		-2	-1	-2	2					
Ph©n Thñy c«n	0	5	33	1100		-1	-2	-1	2					
TiÒm Long c«n	0	5	34	1200		-1	-2	-1	2					
Tö Kim L­¬ng	0	5	35	1300		-2	-1	-2	3					
§¶ CÈu bæng	0	5	36	1400		-1	-2	-1	3					
KhÈn Na La Bæng	0	5	37	1500		-2	-1	-2	4					
Thiªn Xµ c«n	0	5	38	1600		-1	-2	-1	4					
Thanh Long c«n	0	5	39	1700		-1	-2	-1	5					
LiÖt DiÖm	0	5	40	1800		-1	-1	-1	5					
Ngäc Trô	0	5	41	1900		-1	-1	-1	6					
ThÇn Ch©m	0	5	42	2000		-1	-1	-1	7					
HiÖp ThiÕu ¸m KhÝ	0	1	40	500		-2	-2	-2	1					
Ngò Quang th¹ch	0	1	41	600		-2	-2	-2	1					
LiÔu DiÖp ®ao	0	1	42	700		-2	-1	-2	1					
§o¹n Tr­êng tiªu	0	1	43	800		-2	-1	-2	1					
Ph¸ DiÖt ThÇn Ch©m	0	1	44	900		-2	-1	-2	2					
Tö MÉu Ly Hån TiÔn	0	1	45	1000		-2	-1	-2	2					
H¾c HuyÕt ThÇn Ch©m	0	1	46	1100		-1	-2	-1	2					
Ngäc Phong ch©m	0	1	47	1200		-1	-2	-1	2					
Tô Lý Cµn Kh«n	0	1	48	1300		-2	-1	-2	3					
Hµm Sa X¹ ¶nh	0	1	49	1400		-1	-2	-1	3					
ThÊt Tinh ThÊu Cèt Ch©m	0	1	50	1500		-2	-1	-2	4					
ThÊt S¸t Thiªn La	0	1	51	1600		-1	-2	-1	4					
Thiªn ngo¹i phi tiªn	0	1	52	1700		-1	-2	-1	5					
M·n Thiªn Hoa Vò	0	1	53	1800		-1	-1	-1	5					
Khoa Phô	0	1	53	1900		-1	-1	-1	6					
Kh«ng cã	0	1	53	2000		-1	-1	-1	7					
Giíi §ao	0	3	53	700		-2	-1	-2	1					
ChiÕt ThiÕt ®ao	0	3	54	800		-2	-1	-2	1					
LiÖt DiÖm ®ao	0	3	55	900		-2	-1	-2	2					
Ngò Hæ §o¹n M«n §ao	0	3	56	1000		-2	-1	-2	2					
Cöu ¢m ®ao	0	3	57	1100		-1	-2	-1	2					
Ph¸ S¬n ®ao	0	3	58	1200		-1	-2	-1	2					
Nh©n §å ®ao	0	3	59	1300		-2	-1	-2	3					
Long L©n	0	3	60	1400		-1	-2	-1	3					
B¸ch TÞch	0	3	61	1500		-2	-1	-2	4					
Thiªn S¸t	0	3	62	1600		-1	-2	-1	4					
B¸ V­¬ng	0	3	63	1700		-1	-2	-1	5					
Cæ §Ýnh	0	3	64	1800		-1	-1	-1	5					
LËu C¶nh	0	3	65	1900		-1	-1	-1	6					
NghÞch L©n	0	3	66	2000		-1	-1	-1	7					
Ngäc VËn cÇm	0	10	64	700		-2	-1	-2	1					
Kinh §µo cÇm	0	10	65	800		-2	-1	-2	1					
B«n L«i cÇm	0	10	66	900		-2	-1	-2	2					
Phi Béc Liªn Ch©u	0	10	67	1000		-2	-1	-2	2					
L«i §éng V¹n VËt	0	10	68	1100		-1	-2	-1	2					
HuyÒn Nhai Phi Béc	0	10	69	1200		-1	-2	-1	2					
H¶i NguyÖt Thanh Huy	0	10	70	1300		-2	-1	-2	3					
Cöu Tiªu Ngäc Béi	0	10	71	1400		-1	-2	-1	3					
HiÖu Chung	0	10	72	1500		-2	-1	-2	4					
Lôc Khëi	0	10	73	1600		-1	-2	-1	4					
Tiªu VÜ	0	10	74	1700		-1	-2	-1	5					
Hi Nh©n CÇm	0	10	75	1800		-1	-1	-1	5					
§¹i Th¸nh Di ¢m	0	10	76	1900		-1	-1	-1	6					
Kh« Méc Long Ng©m	0	10	77	2000		-1	-1	-1	7					
Ph¸n Quan bót	0	9	75	700		-2	-1	-2	1					
ChiÕt Xung bót	0	9	76	800		-2	-1	-2	1					
Xu©n Phong bót	0	9	77	900		-2	-1	-2	2					
Kinh L«i bót	0	9	78	1000		-2	-1	-2	2					
V« Håi bót	0	9	79	1100		-1	-2	-1	2					
Truy NguyÖt bót	0	9	80	1200		-1	-2	-1	2					
ThÞ Hån bót	0	9	81	1300		-2	-1	-2	3					
Long ThiÖt	0	9	82	1400		-1	-2	-1	3					
R¨ng sãi	0	9	83	1500		-2	-1	-2	4					
Ph¸ Qu©n	0	9	84	1600		-1	-2	-1	4					
Thiªn C¬	0	9	85	1700		-1	-2	-1	5					
ThÇn Hµnh	0	9	86	1800		-1	-1	-1	5					
Toan D­	0	9	87	1900		-1	-1	-1	6					
Th¸i H­	0	9	88	2000		-1	-1	-1	7					
TÝch tr­îng	0	8	86	700		-2	-1	-2	1					
Ho»ng Ph¸p tr­îng	0	8	87	800		-2	-1	-2	1					
Tam B¶o tr­îng	0	8	88	900		-2	-1	-2	2					
Phôc Ma tr­îng	0	8	89	1000		-2	-1	-2	2					
Phæ §é tr­îng	0	8	90	1100		-1	-2	-1	2					
NguyÖt Lu©n tr­îng	0	8	91	1200		-1	-2	-1	2					
Kh«ng Minh tr­îng	0	8	92	1300		-2	-1	-2	3					
B¶o Quang tr­îng	0	8	93	1400		-1	-2	-1	3					
§¹i Tù T¹i Tr­îng	0	8	94	1500		-2	-1	-2	4					
§¹i B¸t Nh· Tr­îng	0	8	95	1600		-1	-2	-1	4					
Thiªn PhËt tr­îng	0	8	96	1700		-1	-2	-1	5					
A La H¸n Tr­îng	0	8	97	1800		-1	-1	-1	5					
Môc KiÒn Liªn Tr­îng	0	8	98	1900		-1	-1	-1	6					
D­îc S­ tr­îng	0	8	99	2000		-1	-1	-1	7					
ThiÕt th­¬ng	0	6	97	700		-2	-1	-2	1					
§iÓm Cang th­¬ng	0	6	98	800		-2	-1	-2	1					
Lôc L¨ng th­¬ng	0	6	99	900		-2	-1	-2	2					
C©u Liªm th­¬ng	0	6	100	1000		-2	-1	-2	2					
Truy Hån th­¬ng	0	6	101	1100		-1	-2	-1	2					
