Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
Phèi th¹ch cÊp 7 (thÓ lùc)	2	21	2277	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, thÓ lùc t¨ng 40 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (chİnh x¸c)	2	21	2278	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 3 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (chİnh x¸c)	2	21	2279	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 5 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (chİnh x¸c)	2	21	2280	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 7 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (chİnh x¸c)	2	21	2281	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 9 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (chİnh x¸c)	2	21	2282	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 11 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (chİnh x¸c)	2	21	2283	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 13 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (chİnh x¸c)	2	21	2284	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, chİnh x¸c t¨ng 15 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (nĞ tr¸nh)	2	21	2285	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 1 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (nĞ tr¸nh)	2	21	2286	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 25 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (nĞ tr¸nh)	2	21	2287	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 4 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (nĞ tr¸nh)	2	21	2288	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 55 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (nĞ tr¸nh)	2	21	2289	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 7 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (nĞ tr¸nh)	2	21	2290	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 85 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (nĞ tr¸nh)	2	21	2291	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, nĞ tr¸nh t¨ng 10 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (ph¶n ®ßn s.th­¬ng)	2	21	2292	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 2 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (ph¶n ®ßn s.th­¬ng)	2	21	2293	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 5 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (ph¶n ®ßn s.th­¬ng)	2	21	2294	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 8 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (ph¶n ®ßn s.th­¬ng)	2	21	2295	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 11 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (ph¶n ®ßn s.th­¬ng)	2	21	2296	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 14 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (ph¶n ®ßn s.th­¬ng)	2	21	2297	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 17 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (ph¶n ®ßn s.th­¬ng)	2	21	2298	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ph¶n ®ßn s¸t th­¬ng 20 (Th­îng y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi lùc håi nãn)	2	21	2299	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 1 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi lùc håi nãn)	2	21	2300	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 2 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi lùc håi nãn)	2	21	2301	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 3 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi lùc håi ¸o)	2	21	2302	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 1 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi lùc håi ¸o)	2	21	2303	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 2 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi lùc håi ¸o)	2	21	2304	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 3 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi lùc håi h¹ y)	2	21	2305	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 1 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi lùc håi h¹ y)	2	21	2306	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 2 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi lùc håi h¹ y)	2	21	2307	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y néi lùc håi phôc 3 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (sinh lùc håi nãn)	2	21	2308	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 1 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (sinh lùc håi nãn)	2	21	2309	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 2 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (sinh lùc håi nãn)	2	21	2310	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 3 (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (sinh lùc håi ¸o)	2	21	2311	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 1 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (sinh lùc håi ¸o)	2	21	2312	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 2 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (sinh lùc håi ¸o)	2	21	2313	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 3 (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (sinh lùc håi h¹ y)	2	21	2314	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 1 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (sinh lùc håi h¹ y)	2	21	2315	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 2 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (sinh lùc håi h¹ y)	2	21	2316	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, mçi 10 gi©y sinh lùc håi phôc 3 (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (®é tËp trung)	2	21	2317	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 3 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (®é tËp trung)	2	21	2318	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 5 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (®é tËp trung)	2	21	2319	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 7 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (®é tËp trung)	2	21	2320	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 9 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (®é tËp trung)	2	21	2321	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 11 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (®é tËp trung)	2	21	2322	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 13 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (®é tËp trung)	2	21	2323	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, ®é tËp trung t¨ng 15 (Vò khİ), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi phßng nãn)	2	21	2324	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 4 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi phßng nãn)	2	21	2325	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 10 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi phßng nãn)	2	21	2326	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 16 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi phßng nãn)	2	21	2327	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 22 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi phßng nãn)	2	21	2328	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 28 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi phßng nãn)	2	21	2329	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 34 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi phßng nãn)	2	21	2330	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 40 ®iÓm (Nãn), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi phßng ¸o)	2	21	2331	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 4 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi phßng ¸o)	2	21	2332	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 10 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi phßng ¸o)	2	21	2333	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 16 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi phßng ¸o)	2	21	2334	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 22 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi phßng ¸o)	2	21	2335	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 28 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi phßng ¸o)	2	21	2336	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 34 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 7 (néi phßng ¸o)	2	21	2337	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 40 ®iÓm (Y phôc), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 1 (néi phßng h¹ y)	2	21	2338	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 4 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 2 (néi phßng h¹ y)	2	21	2339	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 10 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 3 (néi phßng h¹ y)	2	21	2340	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 16 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 4 (néi phßng h¹ y)	2	21	2341	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 22 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 5 (néi phßng h¹ y)	2	21	2342	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 28 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
Phèi th¹ch cÊp 6 (néi phßng h¹ y)	2	21	2343	1	0	1												\image\item\other\µÍ¼¶Åä·½a1.spr	\image\item\other\µÍ¼¶Åä·½a0.spr	Ghi chĞp linh th¹ch quı hiÕm, néi phßng t¨ng 34 ®iÓm (H¹ y), ®iÓm thuéc tİnh cã thay ®æi		ThÇn bİ	\script\item\lingshipeifang.lua	1	0	0		
