Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Kẹo Nho	2	1	30102	0	0	999												\image\item\other\ặẽèẹèầ_36.spr	\image\item\other\ặẽèẹèầ_80.spr	"Giang hồ đồn rằng, Ai ăn nhiều kẹo nho sẽ bị sún răng - Hạn sử dụng: 24:00 ngày 13-09-2009"		Thần bí	\script\online\viet_event\200908\1\item_putaotang.lua	1	0	0							
Kẹo Mãng Cầu	2	1	30103	0	0	999												\image\item\other\ãơẮúệƯèầ_36.spr	\image\item\other\ãơẮúệƯèầ_80.spr	"Giang hồ đồn rằng, Ai ăn nhiều kẹo mãng cầu sẽ bị sún răng - Hạn sử dụng: 24:00 ngày 13-09-2009"		Thần bí	\script\online\viet_event\200908\1\item_fanlizhitang.lua	1	0	0							
Kẹo Sầu Riêng	2	1	30104	0	0	999												\image\item\other\ẦủẦôèầ_36.spr	\image\item\other\ẦủẦôèầ_80.spr	"Giang hồ đồn rằng, Ai ăn nhiều kẹo sầu riêng sẽ bị sún răng - Hạn sử dụng: 24:00 ngày 13-09-2009"		Thần bí	\script\online\viet_event\200908\1\item_liuliantang.lua	1	0	0							
Linh Xà Huyết	2	1	30105	0	0	999												\image\item\other\Ầộẫòẹê_36.spr	\image\item\other\Ầộẫòẹê_80.spr	"Linh Xà Huyết, Vật phẩm mà Nhà Sưu Tầm Mật Tịch đang cần"		Thần bí		1	0	0							
Bột Mì	2	1	30106	0	0	999												\image\item\happy\flour_a1.spr	\image\item\happy\flour_a0.spr	Vật phẩm sự kiện trung thu 2009 Ọ Bột Mì dùng để chế biến Bánh Trung Thu		Thần bí		1	0	0							
Nhân Bánh Trung Thu	2	1	30107	0	0	1												\image\item\other\ệéầùẽí_36.spr	\image\item\other\ệéầùẽí_80.spr	Vật phẩm sự kiện trung thu 2009 Ọ Nhân Bánh Trung Thu dùng để chế biến thành Bánh Trung Thu		Thần bí		1	0	0							
Bánh Đậu Xanh	2	1	30108	0	0	999												\image\item\other\Ẩèảạ̉ý_36.spr	\image\item\other\Ẩèảạ̉ý_80.spr	Vật phẩm sự kiện trung thu 2009 Ọ Nhấp chuột phải để sử dụng Ọ hạn sử dụng 24:00 01-11-2009.		Thần bí	\script\online\viet_event\200909\1\item_lvdoubing.lua	1	0	0							
Bánh Thập Cẩm	2	1	30109	0	0	999												\image\item\other\ấ̃ẵừ̉ý_36.spr	\image\item\other\ấ̃ẵừ̉ý_80.spr	Vật phẩm sự kiện trung thu 2009 Ọ Nhấp chuột phải để sử dụng Ọ hạn sử dụng 24:00 01-11-2009.		Thần bí	\script\online\viet_event\200909\1\item_shijinbing.lua	1	0	0							
Túi Văn Tử	2	1	30110	0	0	1												\image\item\other\coll_038a1.spr	\image\item\other\coll_038a0.spr	Phần thưởng chiến sĩ diệt muỗi 		Thần bí	\script\online\viet_event\200909\3\item_wenzibao.lua	1	0	0							
Bách Bảo Rương	2	1	30111	0	0	1												\image\item\other\ẵưẫẵẵỖ̉Ưẽọa1.spr	\image\item\other\ẵưẫẵẵỖ̉Ưẽọa0.spr	Rương chứa tất cả các kỳ trân dị bảo của Võ Lâm		Thần bí	\script\online\viet_event\200909\7\item_baibaoxiang.lua	1	0	0							
Rương Yếu Quyết_Cao Cấp	2	1	30112	0	0	1												\image\item\other\ễẨẦẦỂẪèỳ̉Ưẽọa1.spr	\image\item\other\ễẨẦẦỂẪèỳ̉Ưẽọa0.spr	Rương chứa 1 loại yếu quyết đặc biệt		Thần bí	\script\online\viet_event\200909\1\item_gaojiyaojuexiang.lua	1	0	0							
Rương Trấn Phái	2	1	30113	0	0	1												\image\item\other\secr_001a1.spr	\image\item\other\secr_001a0.spr	Rương chứa 1 loại mật tịch đặc biệt		Thần bí	\script\online\viet_event\200909\1\item_zhenpaixiang.lua	1	0	0							
Bát Nhã Chứng Thư	2	1	30114	1	0	1												\image\item\other\secr_022a1.spr	\image\item\other\secr_022a0.spr	Đã thành công trồng cây tại Tây Thành Đô		Thần bí		1	0	1							
Tàng Kiếm Lệnh	2	1	30115	1	0	1												\image\item\other\̉ẩẻọ̣úằỏẦợỀặa1.spr	\image\item\other\̉ẩẻọ̣úằỏẦợỀặa0.spr	Vật phẩm nâng cấp trang bị Tàng Kiếm		Thần bí		1	0	0							
Rương Thỏ Ngọc	2	1	30116	0	0	999												\image\item\other\ỂẪểủẽọ_36.spr	\image\item\other\ỂẪểủẽọ_80.spr	Rương chứa 1 loại bảo vật		Thần bí	\script\online\viet_event\200912\5\item_yutuxiang.lua	1	0	0							
Khiêu Chiến Lệnh	2	1	30117	0	0	999												\image\item\other\èụếẵẦợ_36 copy.spr	\image\item\other\èụếẵẦợ_80 copy.spr	"Nhất tướng công thành vạn cốt khô"""		Thần bí		1	0	0							
Hoa Cúc	2	1	30118	0	0	999												\image\item\other\ắếằă_36.spr	\image\item\other\ắếằă_80.spr	Hoa Cúc Ọ hương hoa rất thơm		Thần bí		1	0	0							
Trà Hoa Cúc	2	1	30119	0	0	999												\image\item\other\ắếằẵố_36.spr	\image\item\other\ắếằẵố_80.spr	"Trà Hoa Cúc được chế biến từ Trà và Hoa Cúc, có hương vị rất thơm"		Thần bí	\script\online\viet_event\200911\1\item_juhuacha.lua	1	0	0							
Bánh Bách Hoa	2	1	30120	0	0	999												\image\item\other\̀Ễằẳý_36.spr	\image\item\other\̀Ễằẳý_80.spr	Bánh có hương vị rất ngon		Thần bí		1	0	0							
Bí Quyết Ướp Trà	2	1	30121	0	0	1												\image\item\other\Ềí̃ốẪỉắữ_36.spr	\image\item\other\Ềí̃ốẪỉắữ_80.spr	Bí quyết ướp trà hoa cúc		Thần bí		1	0	0							
Thần Mộc Bát Quái	2	95	550	0	0	1												\image\item\other\baguapan_a1.spr	\image\item\other\baguapan_a0.spr	"Thần Mộc Bát Quái Bàn bao hàm linh khí trời đất,có thể đến gặp Thần Du Trân Nhân kích hoạt Quái Vị chỉ định của trang bị Bát Quái."		Thần bí		1	0	1							
Tử Kim Bát Quái	2	95	551	0	0	1												\image\item\other\zijinbaguapan_a1.spr	\image\item\other\zijinbaguapan_a0.spr	"Tử Kim Bát Quái Bàn bao hàm linh khí trời đất,có thể đến gặp Thần Du Trân Nhân kích hoạt Quái Vị chỉ định của trang bị Bát Quái."		Thần bí		1	0	1							
Ngọc Trai	2	1	30122	1	0	1												\image\item\other\ếọệộ_36.spr	\image\item\other\ếọệộ_80.spr	Một loại ngọc quý hiếm Ọ nhấp phải chuột nhận điểm kinh nghiệm		Thần bí	\script\online\viet_event\200911\1\item_zhenzhu.lua	1	0	0							
Pháo Hoa	2	1	30123	0	0	1												\image\item\other\holi_001a1.spr	\image\item\other\holi_001a0.spr	Pháo Hoa đươc chế tạo đặc biệt để chào đón các đợt lễ lớn		Thần bí	\script\online\viet_event\200911\4\item_yanhuo.lua	1	2	1							
Bánh Kem Vani	2	1	30124	0	0	999												\image\item\other\ẽṍíà̀áõ_36.spr	\image\item\other\ẽṍíà̀áõ_80.spr	Bánh Kem Vani được chế tạo nhằm chào mừng lễ hội giáng sinh và chào mừng sinh nhật Võ Lâm		Thần bí	\script\online\viet_event\200912\1\item_xiangcaodangao.lua	1	0	1							
Ông già tuyết	2	1	30125	0	0	1												\image\item\other\ấƠàđẮẽẩậ_36.spr	\image\item\other\ấƠàđẮẽẩậ_80.spr	Ông già tuyết dùng để trang trí trong các dịp lễ giáng sinh		Thần bí		1	0	1							
Trái Tim Phù Thủy	2	1	30126	0	0	1												\image\item\other\ẻìấƯéẤ_36.spr	\image\item\other\ẻìấƯéẤ_80.spr	Trái Tim của Phù Thủy Băng Giá		Thần bí	\script\online\viet_event\200912\3\item_wushixin.lua	1	0	0							
Chân gà	2	1	30127	0	0	999												\image\item\other\ẳƯẵỀ_36.spr	\image\item\other\ẳƯẵỀ_80.spr	Chân gà rất được ưa chuộng trong các quán ăn Ọ nhấp phải để sử dụng		Thần bí	\script\online\viet_event\200912\5\item_jijiao.lua	1	0	0							
Đùi vịt	2	1	30128	0	0	999												\image\item\other\ẹẳỂẩ_36.spr	\image\item\other\ẹẳỂẩ_80.spr	"Đùi vịt mềm, hương vị thơm ngon Ọ nhấp phải để sử dụng"		Thần bí	\script\online\viet_event\200912\5\item_yatui.lua	1	0	0							
Thịt dê	2	1	30129	0	0	999												\image\item\usable\edib_001a1.spr	\image\item\usable\edib_001a0.spr	Sử dụng thịt dê rất tốt cho sức khỏe Ọ nhấp phải để sử dụng		Thần bí	\script\online\viet_event\200912\5\item_yangrou.lua	1	0	0							
Phi Yên Thạch	2	1	30130	0	1	1												\image\item\other\ãầẹèấẰ_36.spr	\image\item\other\ãầẹèấẰ_80.spr	Viên đá được rút ra từ vũ khí bộ phi yên		Thần bí		1	0	1							
Tử Quang Thần Thạch	2	1	30131	1	0	1												\image\item\other\ằỡóỗèỳắôa1.spr	\image\item\other\ằỡóỗèỳắôa0.spr	Kim loại tinh luyện từ trang bị và vũ khí Tử Quang mà ra		Thần bí		1	0	1							
Võ Lâm Bảo Hạp	2	1	30132	0	100	999												\image\item\other\ẻọẦệ̉ƯẲé_36.spr	\image\item\other\ẻọẦệ̉ƯẲé_80.spr	Mừng sinh nhật Võ Lâm Truyền Kỳ II		Thần bí		1	0	1							
Chìa Khóa Vàng	2	1	30133	1	100	1												\image\item\other\ằặẵỖễẴ́ì_36.spr	\image\item\other\ằặẵỖễẴ́ì_80.spr	Dùng để mở Võ Lâm Bảo Hạp có giá trị liên thành		Thần bí		1	0	1							
Chìa khoá Bạch Ngân	2	1	30134	1	100	1												\image\item\other\̀ìềứễẴ́ì_36.spr	\image\item\other\̀ìềứễẴ́ì_80.spr	Dùng để mở Võ Lâm Bảo Hạp có giá trị liên thành		Thần bí		1	0	1							
Chìa khóa Thanh Đồng	2	1	30135	1	100	1												\image\item\other\ầỔỂưễẴ́ì_36.spr	\image\item\other\ầỔỂưễẴ́ì_80.spr	Dùng để mở Võ Lâm Bảo Hạp có giá trị liên thành		Thần bí		1	0	1							
Định hồn Tiểu Thần Thạch	2	1	30136	1	100	1												\image\item\other\ảăằờéĂẫủấẰ_36.spr	\image\item\other\ảăằờéĂẫủấẰ_80.spr	"Khi ép Thiên Thạch Tinh Thạch sẽ không rơi xuống +0, có tác dụng trong 8 giờ"		Thần bí		1	0	1							
Pháo Hoa	2	1	30137	0	100	1												\image\item\other\holi_012a1.spr	\image\item\other\holi_012a0.spr	Pháo Hoa đươc chế tạo đặc biệt để chào đón các đợt lễ lớn		Thần bí	\script\online\viet_event\200912\4\item_yanhuo.lua	1	2	1							
Cây Kẹo Giáng Sinh	2	1	30138	0	0	999												\image\item\other\Viet_ấƠàđèầạỷ_36.spr	\image\item\other\Viet_ấƠàđèầạỷ_80.spr	Kẹo dùng để trang trí trong các dịp lễ giáng sinh (sử dụng trong hoạt động giáng sinh 2009)		Thần bí		1	0	0							
Túi Nguyên Liệu	2	1	30139	0	0	999												\image\item\other\ễưẦẹ̃ỹ_36.spr	\image\item\other\ễưẦẹ̃ỹ_80.spr	Túi chứa một loại nguyên liệu Ọ nhấp phải để mở túi		Thần bí	\script\online_activites\2010_01\activites_01\item\item_yuanliaodai.lua	1	0	0							
Nếp cao sản	2	1	30140	0	0	999												\image\item\other\áò̃ỳỆ̀Ẫì_36.spr	\image\item\other\áò̃ỳỆ̀Ẫì_80.spr	"Nếp cao sản hạt dẻo, thơm rất được ưa chuộng"		Thần bí		1	0	0							
Đậu Xanh	2	1	30141	0	0	999												\image\item\other\Ẩèảạ_36.spr	\image\item\other\Ẩèảạ_80.spr	Đậu xanh là một loại nguyên liệu		Thần bí		1	0	0							
Thịt ba rọi	2	1	30142	0	0	999												\image\item\other\ẻồằăẩõ_36.spr	\image\item\other\ẻồằăẩõ_80.spr	Thịt ba rọi là một loại nguyên liệu		Thần bí		1	0	0							
Lá Dong	2	1	30143	0	0	1												\image\item\other\Ẩôẻưềả_36.spr	\image\item\other\Ẩôẻưềả_80.spr	Lá dong dùng để gói bánh		Thần bí		1	0	1							
Bánh chưng hảo hạng	2	1	30144	0	0	999												\image\item\other\ẳôặãụếìể_36.spr	\image\item\other\ẳôặãụếìể_80.spr	Bánh Chưng là một loại bánh rất được ưa chuộng trong các dịp tết cỗ truyền của dân tộc Ọ nhấp phải để sử dụng		Thần bí	\script\online_activites\2010_01\activites_01\item\item_jipinzongzi.lua	1	0	1							
Bao lì xì may mắn	2	1	30145	0	0	1												\image\item\other\Ẳỡ̀ỹ_36.spr	\image\item\other\Ẳỡ̀ỹ_80.spr	Nhấp chuột phải để nhận		Thần bí	\script\online_activites\2010_01\activites_01\item\item_xingyunhongbao.lua	1	2	1							
Túi Ngũ Sắc	2	1	30146	0	0	999												\image\item\other\ẻồẫộỹ_36.spr	\image\item\other\ẻồẫộỹ_80.spr	Túi chứa một loại đá quý		Thần bí	\script\online_activites\2010_03\activites_01\item\item_wusedai.lua	1	0	0							
Kim Tinh Thạch	2	1	30147	0	0	999												\image\item\other\ẵỖéầấẰ_36.spr	\image\item\other\ẵỖéầấẰ_80.spr	Kim Tinh Thạch		Thần bí		1	0	0							
Mộc Tinh Thạch	2	1	30148	0	0	999												\image\item\other\ẤắéầấẰ_36.spr	\image\item\other\ẤắéầấẰ_80.spr	Mộc Tinh Thạch		Thần bí		1	0	0							
Thủy Tinh Thạch	2	1	30149	0	0	999												\image\item\other\ậđéầấẰ_36.spr	\image\item\other\ậđéầấẰ_80.spr	Thủy Tinh Thạch		Thần bí		1	0	0							
Hỏa Tinh Thạch	2	1	30150	0	0	999												\image\item\other\ằỖéầấẰ_36.spr	\image\item\other\ằỖéầấẰ_80.spr	Hỏa Tinh Thạch		Thần bí		1	0	0							
Thổ Tinh Thạch	2	1	30151	0	0	999												\image\item\other\ỂẦéầấẰ_36.spr	\image\item\other\ỂẦéầấẰ_80.spr	Thổ Tinh Thạch		Thần bí		1	0	0							
Ngũ Sắc Bí Chế	2	1	30152	0	0	1												\image\item\other\ẻồẫôẪỉệặ_36.spr	\image\item\other\ẻồẫôẪỉệặ_80.spr	Bí thuật chế tạo Ngũ Sắc Thạch		Thần bí		1	0	1							
Ngũ Sắc Thạch	2	1	30153	0	0	999												\image\item\other\ẻồẫôấẰ_36.spr	\image\item\other\ẻồẫôấẰ_80.spr	Tương truyền Ngũ Sắc Thạch có chứa một nguồn sức mạnh vô tận		Thần bí	\script\online_activites\2010_03\activites_01\item\item_wuseshi.lua	1	0	1							
Nữ Oa Bảo Hạp	2	1	30154	0	0	1												\image\item\other\Ềđộ̉̉ƯẲé_36.spr	\image\item\other\Ềđộ̉̉ƯẲé_80.spr	Bảo Hạp của Nữ Oa Nương Nương		Thần bí	\script\online_activites\2010_03\activites_01\item\item_nvwabaohe.lua	1	2	1							
Long Tử Bối	2	1	30155	0	0	1												\image\item\quest\ẦỳìểỀồ_36.spr	\image\item\quest\ẦỳìểỀồ_80.spr	Vật phẩm chứa đựng sự huyền bí của Long Tử Hội		Thần bí		1	0	0							
Phụng Tử Bối	2	1	30156	0	0	1												\image\item\quest\ãùìểỀồ_36.spr	\image\item\quest\ãùìểỀồ_80.spr	Vật phẩm chứa đựng sự huyền bí của Phụng Tử Hội		Thần bí		1	0	0							
Hổ Tử Bối	2	1	30157	0	0	1												\image\item\quest\ằÂìểỀồ_36.spr	\image\item\quest\ằÂìểỀồ_80.spr	Vật phẩm chứa đựng sự huyền bí của Hổ Tử Hội		Thần bí		1	0	0							
Ưng Tử Bối	2	1	30158	0	0	1												\image\item\quest\ểƠìểỀồ_36.spr	\image\item\quest\ểƠìểỀồ_80.spr	Vật phẩm chứa đựng sự huyền bí của Ưng Tử Hội		Thần bí		1	0	0							
Túi thực phẩm	2	1	30159	0	0	999												\image\item\quest\ấ́ặạ̃ỹ_36.spr	\image\item\quest\ấ́ặạ̃ỹ_80.spr	Thực phẩm cho bạn đồng hành ăn thường ngày		Thần bí	\script\online_activites\reborn\tongban\item\item_shipindai.lua	1	0	0							
Bỏ đi 1	2	1	30160	0	0	1												\image\item\other\ẻồẫôẪỉệặ_36.spr	\image\item\other\ẻồẫôẪỉệặ_80.spr	Vật phẩm chứa đựng sự huyền bí của Long Tử Hội		Thần bí	\script\online_activites\reborn\tongban\item\item_longziyin.lua	1	2	1							
Bỏ đi 2	2	1	30161	0	0	1												\image\item\other\ẻồẫôấẰ_36.spr	\image\item\other\ẻồẫôấẰ_80.spr	Vật phẩm chứa đựng sự huyền bí của Phụng Tử Hội		Thần bí	\script\online_activites\reborn\tongban\item\item_fengziyin.lua	1	2	1							
Bỏ đi 3	2	1	30162	0	0	1												\image\item\other\Ềđộ̉̉ƯẲé_36.spr	\image\item\other\Ềđộ̉̉ƯẲé_80.spr	Vật phẩm chứa đựng sự huyền bí của Hổ Tử Hội		Thần bí	\script\online_activites\reborn\tongban\item\item_huziyin.lua	1	2	1							
Bỏ đi 4	2	1	30163	0	0	1												\image\item\other\Ềđộ̉̉ƯẲé_36.spr	\image\item\other\Ềđộ̉̉ƯẲé_80.spr	Vật phẩm chứa đựng sự huyền bí của Ưng Tử Hội		Thần bí	\script\online_activites\reborn\tongban\item\item_yingziyin.lua	1	2	1							
Nhãn 	2	1	30164	0	0	999												\image\item\other\ẦỳẹỒ_36.spr	\image\item\other\ẦỳẹỒ_80.spr	Một loại trái cây rất có ích cho sức khỏe 		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Chôm Chôm 	2	1	30165	0	0	999												\image\item\other\ẲỡẪôàÔ_36.spr	\image\item\other\ẲỡẪôàÔ_80.spr	Một loại trái cây rất có ích cho sức khỏe 		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Cam	2	1	30166	0	0	999												\image\item\other\́ẩìể_36.spr	\image\item\other\́ẩìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Dừa	2	1	30167	0	0	999												\image\item\other\ềơìể_36.spr	\image\item\other\ềơìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Măng cụt	2	1	30168	0	0	999												\image\item\other\ẫẵệủ_36.spr	\image\item\other\ẫẵệủ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Bưởi 	2	1	30169	0	0	999												\image\item\other\ốệìể_36.spr	\image\item\other\ốệìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Dâu	2	1	30170	0	0	999												\image\item\other\̃ííđ_36.spr	\image\item\other\̃ííđ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Chuối	2	1	30171	0	0	999												\image\item\other\ẽóẵả_36.spr	\image\item\other\ẽóẵả_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Xoài	2	1	30172	0	0	999												\image\item\other\ẪÂạỷ_36.spr	\image\item\other\ẪÂạỷ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Đào	2	1	30173	0	0	999												\image\item\other\èềìể_36.spr	\image\item\other\èềìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Mận	2	1	30174	0	0	999												\image\item\other\Ắợìể_36.spr	\image\item\other\Ắợìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Vải	2	1	30175	0	0	999												\image\item\other\ẮúệƯ_36.spr	\image\item\other\ẮúệƯ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Táo	2	1	30176	0	0	999												\image\item\other\ặằạỷ_36.spr	\image\item\other\ặằạỷ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Bơ	2	1	30177	0	0	999												\image\item\other\ửựẮổ_36.spr	\image\item\other\ửựẮổ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Đu Đủ	2	1	30178	0	0	999												\image\item\other\Ấắạẽ_36.spr	\image\item\other\Ấắạẽ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Mãng Cầu	2	1	30179	0	0	999												\image\item\other\ỀèẮúệƯ_36.spr	\image\item\other\ỀèẮúệƯ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Khóm	2	1	30180	0	0	999												\image\item\other\̃ÔẨĩ_36.spr	\image\item\other\̃ÔẨĩ_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Lê	2	1	30181	0	0	999												\image\item\other\Ắổìể_36.spr	\image\item\other\Ắổìể_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Bòn Bon	2	1	30182	0	0	999												\image\item\other\Ắẳẩử_36.spr	\image\item\other\Ắẳẩử_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Khế	2	1	30183	0	0	999												\image\item\other\ẹợèề_36.spr	\image\item\other\ẹợèề_80.spr	Một loại trái cây rất có ích cho sức khỏe		Thần bí	\script\online_activites\2010_04\activities_01\item\item_shuiguo.lua	1	0	0							
Túi Nguyên Liệu	2	1	30184	0	0	999												\image\item\other\ễưẦẹ̃ỹ_36.spr	\image\item\other\ễưẦẹ̃ỹ_80.spr	Túi chứa nguyên liệu của sự kiện lớn		Thần bí	\script\online_activites\2010_04\activities_01\item\item_rawmaterial.lua	1	0	0							
Sao Chiến Thắng	2	1	30185	0	0	999												\image\item\other\ằặéầ_36.spr	\image\item\other\ằặéầ_80.spr	Ngôi sao vàng năm cánh		Thần bí		1	0	0							
Pháo Chiến Thắng	2	1	30186	0	0	999												\image\item\other\ấÔẮỷỀẾ_36.spr	\image\item\other\ấÔẮỷỀẾ_80.spr	Pháo mừng các chiến thắng		Thần bí		1	0	0							
Thiệp Chiến Thắng	2	1	30187	0	0	999												\image\item\other\ấÔẮỷẴă_36.spr	\image\item\other\ấÔẮỷẴă_80.spr	Thiệp mừng chiến thắng		Thần bí		1	0	0							
Hoa Chiến Thắng	2	1	30188	0	0	999												\image\item\other\ấÔẮỷằă_36.spr	\image\item\other\ấÔẮỷằă_80.spr	Hoa mừng chiến thắng		Thần bí		1	0	0							
Hộp quà chiến thắng	2	1	30189	0	0	999												\image\item\other\ấÔẮỷẮủẲé_36.spr	\image\item\other\ấÔẮỷẮủẲé_80.spr	Hộp quà mừng chiến thắng		Thần bí	\script\online_activites\2010_04\activities_01\item\item_vicbox.lua	1	0	1							
Hộp quà	2	1	30190	0	0	1												\image\item\other\ẮủẲé_36.spr	\image\item\other\ẮủẲé_80.spr	Hộp chứa quà mừng các sự kiện lớn		Thần bí		1	0	1							
Ngôi sao may mắn	2	1	30191	0	0	1												\image\item\other\éềễậéầ_36.spr	\image\item\other\éềễậéầ_80.spr	"Mang lại sự may mắn, mỗi ngày chỉ có thể mở 8 lần."		Thần bí	\script\online_activites\2010_04\activities_01\item\item_luckystar.lua	1	2	1							
Mâm trái cây	2	1	30192	0	0	999												\image\item\other\ậđạỷỀè_36.spr	\image\item\other\ậđạỷỀè_80.spr	Mâm trái cây có thể chế biến ra nhiều đặc sản		Thần bí		1	0	1							
Cẩm nang chế biến	2	1	30193	0	0	1												\image\item\other\ệặìữẵừẤề_36.spr	\image\item\other\ệặìữẪỉẳđ_80.spr	Cẩm nang dùng để chế biến các loại đặc sản		Thần bí		1	0	1							
Bánh trái cây	2	1	30194	0	0	999												\image\item\other\ậđạỷ̉ý_36.spr	\image\item\other\ậđạỷ̉ý_80.spr	"Bánh Trái Cây đặc sản rất ngon, được chế biến từ trái cây tươi"		Thần bí	\script\online_activites\2010_06\activites_01\item\item_fruit.lua	1	0	1							
Kem trái cây	2	1	30195	0	0	999												\image\item\other\ậđạỷ̉ự_36.spr	\image\item\other\ậđạỷ̉ự_80.spr	"Kem Trái Cây đặc sản rất ngon, được chế biến từ trái cây tươi"		Thần bí	\script\online_activites\2010_06\activites_01\item\item_fruit.lua	1	0	1							
Mứt trái cây	2	1	30196	0	0	999												\image\item\other\ậđạỷặ̃_36.spr	\image\item\other\ậđạỷặ̃_80.spr	"Mứt Trái Cây đặc sản rất ngon, được chế biến từ trái cây tươi"		Thần bí	\script\online_activites\2010_06\activites_01\item\item_fruit.lua	1	0	1							
Nước trái cây	2	1	30197	0	0	999												\image\item\other\ậđạỷệư_36.spr	\image\item\other\ậđạỷệư_80.spr	"Nước Trái Cây đặc sản rất ngon, được chế biến từ trái cây tươi"		Thần bí	\script\online_activites\2010_06\activites_01\item\item_fruit.lua	1	0	1							
Võ lâm mật ấn [kim]	2	1	30198	0	0	1												\image\item\other\ẵỖ_36.spr	\image\item\other\ẵỖ_80.spr	Võ lâm mật ấn [kim]		Thần bí	\script\online_activites\2010_06\activites_01\item\item_wlmy.lua	1	2	1							
Võ lâm mật ấn [mộc]	2	1	30199	0	0	1												\image\item\other\Ấắ_36.spr	\image\item\other\Ấắ_80.spr	Võ lâm mật ấn [mộc]		Thần bí	\script\online_activites\2010_06\activites_01\item\item_wlmy.lua	1	2	1							
Võ lâm mật ấn [thủy]	2	1	30200	0	0	1												\image\item\other\ậđ_36.spr	\image\item\other\ậđ_80.spr	Võ lâm mật ấn [thủy]		Thần bí	\script\online_activites\2010_06\activites_01\item\item_wlmy.lua	1	2	1							
Võ lâm mật ấn [hỏa]	2	1	30201	0	0	1												\image\item\other\ằỖ_36.spr	\image\item\other\ằỖ_80.spr	Võ lâm mật ấn [hỏa]		Thần bí	\script\online_activites\2010_06\activites_01\item\item_wlmy.lua	1	2	1							
